Disease,Source,Statement,Content, Date, Link
Malaria cases,Times of India,Visakhapatnam: Agency battles to keep Covid count below malaria,The fact that the Agency area is cut off from the mainstreams has helped its residents for the first time. It is one of the prime reasons why Covid-19 cases have been low here. Every year during monsoon malaria spreads across the Agency. It reported 952 malaria cases in 2019 and 1|685 cases in 2018. This year 957 malaria| six dengue and two chikungunya cases have been reported so far.,23 Jul 2020,https://timesofindia.indiatimes.com/city/visakhapatnam/agency-battles-to-keep-covid-count-below-malaria/articleshow/77115357.cms
Malaria cases,Times of India,Malaria cases go up in Bareilly in monsoon| 853 test positive in July,With the onset of monsoon and more screening| there has been an increase in the number of malaria cases in Bareilly. According to the latest data compiled by the health department| Bareilly reported 853 cases in July so far - after screening of 14|595 people. Notably| 788 malaria cases were detected between January and May this year.,23 Jul 2020,https://timesofindia.indiatimes.com/city/bareilly/malaria-cases-go-up-in-bareilly-in-monsoon-853-test-positive-in-july/articleshow/77112536.cms
Malaria cases,Times of India,As monsoon hits Delhi| city records 73 cases of dengue| malaria,Amidst fight with the Covid-19 pandemic| another battle is looming over the horizon of the national capital. The cases of vector-borne diseases are rising in Delhi.,26 Jul 2020,https://timesofindia.indiatimes.com/city/delhi/as-monsoon-hits-delhi-city-records-73-cases-of-dengue-malaria/articleshow/77178930.cms
Malaria cases,Times of India,Delhi: Anti-malaria fight takes back seat to Covid-19,The novel coronavirus pandemic has taken a toll on the annual activities carried out by municipal corporations during the monsoon season to control the spread of vector-borne diseases.,26 Jun 2020,https://timesofindia.indiatimes.com/city/delhi/anti-malaria-fight-takes-back-seat-to-covid-19/articleshow/76633586.cms
Malaria cases,Times of India,Bareilly sees 18 cases of 'killer' malaria strain in June,The district of Bareilly has recorded 18 cases of the deadly plasmodium falciparum (PF) strain of malaria in June this year| seven more than the cases in the same month last year| according to the latest report compiled by the health department here.,10 Jul 2020,https://timesofindia.indiatimes.com/city/bareilly/bareilly-sees-18-cases-of-killer-malaria-strain-in-june/articleshow/76880252.cms
Malaria cases,Hindustan Times,BJP-led corporations launch mega dengue awareness campaign in Delhi,The party has asked its leaders| including all seven Members of Parliament (MPs) from Delhi| members of the Delhi legislative assembly (MLAs) to participate in the month-long campaign read more,Aug 25| 2020 11:18,https://www.hindustantimes.com/delhi-news/bjp-led-corporations-launch-mega-dengue-awareness-campaign-in-delhi/story-gCbUhfgkTxoUveP3tncZfO.html
Malaria cases,Hindustan Times,Convert Covid-19 beds to non-Covid for monsoon-related ailments: Mumbai civic corporation to private hospitals,read more,Aug 22| 2020 01:00,https://www.hindustantimes.com/mumbai-news/convert-covid-19-beds-to-non-covid-for-monsoon-related-ailments-mumbai-civic-corporation-to-private-hospitals/story-iWNB435asffx5WV6XM2hjM.html
Malaria cases,Hindustan Times,2 die of malaria and Covid-19 dual infection: BMC,read more,Aug 18| 2020 23:34,https://www.hindustantimes.com/mumbai-news/2-die-of-malaria-and-covid-19-dual-infection-bmc/story-BoSuHtgq9ISa5r1ocbAw4M.html
Malaria cases,Hindustan Times,Punjab’s dengue cases up 70% over past month,There are now 119 dengue patients in the state| against 70 on July 10. Most dengue cases are being reported from Ferozepur| Bathinda and Hoshiarpur districts read more,Aug 12| 2020 21:42,https://www.hindustantimes.com/cities/punjab-s-dengue-cases-up-70-over-past-month/story-Ce2txnK3kNeNZ2risvssNO.html
Malaria cases,Hindustan Times,On foot| boats health workers visit 1.8 lakh houses for malaria eradication drive in Bastar,Under the Malaria Mukt Bastar Abhiyan| the state government is conducting community-based active screening and treatment in seven districts of Bastar division to reduce malaria parasite load. read more,Jul 12| 2020 13:57,https://www.hindustantimes.com/india-news/on-foot-boats-health-workers-visit-1-8-lakh-houses-for-malaria-eradication-drive-in-bastar/story-c5etmG1lCRHVchK078HLnM.html
Malaria cases,Hindustan Times,As Punjab records 70 dengue cases in 30 days| state may not be prepared for another outbreak,Due to all focus on combating Covid-19| special wards for vector-borne disease patients yet to be set up. read more,Jul 10| 2020 22:27,https://www.hindustantimes.com/cities/as-punjab-records-70-dengue-cases-in-30-days-state-may-not-be-prepared-for-another-outbreak/story-WkH6Qs9zbsBFje6sRQfluK.html
Malaria cases,Hindustan Times,Hit hard by Covid-19| Bengal braces for dengue| malaria as monsoon breaks,Health officials say matters could worsen because the symptoms of Covid-19| dengue and malaria and a few other diseases such as typhoid and common flu often overlap. read more,Jun 13| 2020 19:31,https://www.hindustantimes.com/india-news/hit-hard-by-covid-19-bengal-braces-for-dengue-malaria-as-monsoon-breaks/story-mVYqWZIbGUHzg1nNflV2eN.html
Malaria cases,Hindustan Times,Cases of vector-borne diseases from Jan to May lowest in five years: Data,Data revealed that between January and May of 2016| 1|762 water and mosquito-borne disease cases were reported but this year till May| the number fell to 809| a drop of 54%. read more,Jun 07| 2020 23:52,https://www.hindustantimes.com/mumbai-news/cases-of-vector-borne-diseases-from-jan-to-may-lowest-in-five-years-data/story-x8u2BMueoRewoojGGtKdlI.html
Malaria cases,Hindustan Times,Mosquito-borne diseases  in Capital on the rise,Malaria cases in Delhi have more than quadrupled from four cases| reported between January 1| 2019 and May 9| 2019| to 18 cases reported between the same period this year. read more,May 11| 2020 23:13,https://www.hindustantimes.com/delhi-news/mosquito-borne-diseases-in-capital-on-the-rise/story-dOJwY4WHj2DJBdC26ddYDN.html
Malaria cases,Hindustan Times,Why Indian Parliamentarians are backing the fight against malaria,Let us pledge that we will eliminate malaria even from the remotest corner of India by 2030. Only when we leave no one behind will we cross the finish line read more,Mar 09| 2020 14:36,https://www.hindustantimes.com/analysis/why-indian-parliamentarians-are-backing-the-fight-against-malaria/story-AVkcyKLB0JnxTPxAEChRkM.html
Malaria cases,Hindustan Times,Yourspace: More insects than residents| thank you hyacinth,What is the long-term answer to this perennial problem? Are the civic authorities doing enough? Or anything at all? Can residents do anything to improve the situation? read more,Mar 07| 2020 23:45,https://www.hindustantimes.com/cities/yourspace-more-insects-than-residents-thank-you-hyacinth/story-03qppifWmF5fdgP86NH1IN.html
Malaria cases,Hindustan Times,This skin cream may protect against dengue| zika viruses,A skin cream used to treat warts and skin cancer could help protect people against viral diseases such as Zika and dengue| according to a new study. read more,Jan 27| 2020 18:33,https://www.hindustantimes.com/more-lifestyle/this-skin-cream-may-protect-against-dengue-zika-viruses/story-egWMaSFf9094QLDKOzqrYL.html
Malaria cases,Hindustan Times,Get Set| Go... 2020,Battling disease| checking pollution| protecting global biodiversity... a checklist of targets to be met by the coming year read more,Dec 27| 2019 19:16,https://www.hindustantimes.com/lifestyle/get-set-go-2020/story-17AEkvQ3NWvZdJyl3wQsqN.html
Malaria cases,Hindustan Times,India records 41% dip in annual malaria deaths: WHO’s report,Malaria cases in the country declined by 28% in 2018 compared to 2017; there was a 24% reduction in cases between 2016 and 2017. read more,Dec 04| 2019 01:36,https://www.hindustantimes.com/india-news/india-records-41-dip-in-annual-malaria-deaths-who-s-report/story-hf4ckQnPII1Csmsiv2EXdI.html
Malaria cases,Hindustan Times,Mum knows best: Home-made soup not just good for your soul|  may help fight malaria,A new study suggests that certain home-made broths| made from chicken| beef or even just vegetables| might have properties that can help fight malaria. read more,Nov 21| 2019 10:23,https://www.hindustantimes.com/more-lifestyle/mum-knows-best-home-made-soup-not-just-good-for-your-soul-may-help-fight-malaria/story-sv8Z3WnivHnqfOpwlgg10H.html
Malaria cases,Indian Express,UP: Govt says decline in communicable diseases this season,Additional Chief Secretary (Medical & Health) Amit Mohan Prasad in a statement said that in the current year| only 4|687 cases of malaria were reported till August 20 as against 15|101 in the same period in 2019.,Updated: August 24| 2020 at 4:13 am,https://indianexpress.com/article/cities/lucknow/up-govt-says-decline-in-communicable-diseases-this-season-6567231/
Malaria cases,Indian Express,Mumbai: To tackle monsoon diseases| 72 hospitals| nursing homes reverted to non-Covid facility,BMC health officials said they expect leptospirosis cases to surge this month and dengue cases by September. The number of malaria cases this year are double of what Mumbai recorded until 2019.,Updated: August 22| 2020 at 3:57 am,https://indianexpress.com/article/cities/mumbai/to-tackle-monsoon-diseases-72-hospitals-nursing-homes-reverted-to-non-covid-facility-6564928/
Malaria cases,Indian Express,ITIHAS tracks Covid cases using mobile network| artificial intelligence algorithm,Once tested positive| the tool traces the movement of the patient’s past 20 days and based on duration spent calculated by mobile pings sent to the tower| an exposure score is calculated| which is further fine-tuned and mapped geographically to undertake surveillance activities.,Updated: August 21| 2020 at 3:57 am,https://indianexpress.com/article/india/itihas-tracks-covid-cases-using-mobile-network-artificial-intelligence-algorithm-6563546/
Malaria cases,Indian Express,Mumbai: Spike in malaria cases in August| two with Covid-19 infection die,“We are testing all patients admitted for malaria| dengue or any monsoon-related ailment for Covid-19 to ensure they can be isolated in time|” Dr Hemant Deshmukh| dean of KEM hospital| said.,Updated: August 19| 2020 at 1:52 am,https://indianexpress.com/article/cities/mumbai/mumbai-spike-in-malaria-cases-in-august-two-with-covid-19-infection-die/
Malaria cases,Indian Express,Water-borne diseases on the rise: Here’s what to do,Sometimes bacteria like E. coli| salmonella enter the body through contaminated food and water and cause fever| swelling in the intestines leading to blood and mucus in stool; many of such cases require hospitalisation,Updated: August 18| 2020 at 8:00 pm,https://indianexpress.com/article/lifestyle/health/water-borne-diseases-monsoon-precautions-6533023/
Malaria cases,Indian Express,Bhupesh Baghel: ‘BJP trying to usurp credit for lawful process… no one has copyright on Ram’,Ram is in our culture. We use his name as greetings. We have Kabirpanthis in the state…. Today in Chhattisgarh| every house| every village has their Ramayana recital and reading sessions| says Bhupesh Baghel.,Updated: August 14| 2020 at 4:14 am,https://indianexpress.com/article/india/bhupesh-baghel-bjp-trying-to-usurp-credit-for-lawful-process-no-one-has-copyright-on-ram-6553720/
Malaria cases,Indian Express,US Presidential candidate Joe Biden picks Kamala Harris as his running mate,The United States has never had a female vice president| and the move comes four years after the country’s first female presidential nominee| Hillary Clinton| lost her White House bid.,Updated: August 12| 2020 at 2:11 am,https://indianexpress.com/article/world/us-presidential-candidate-joe-biden-picks-kamala-harris-as-his-running-mate-6550906/
Malaria cases,Indian Express,Mumbai: In 66% of infected doctors| source of Covid can’t be traced,The study conducted by the Association of Medical Consultants (AMC) in July asked infected doctors to voluntarily fill the survey forms. At least 176 agreed| among whom 40 per cent were in the age group of 36 to 50 years.,Updated: August 11| 2020 at 3:44 am,https://indianexpress.com/article/cities/mumbai/mumbai-in-66-of-infected-doctors-source-of-covid-cant-be-traced-6549468/
Malaria cases,Indian Express,Brazil makes grim milestone – 100|000 deaths from COVID-19,The nation of 210 million people has been reporting an average of more than 1|000 daily deaths from the pandemic since late May and reported 905 for the latest 24-hour period.,Updated: August 9| 2020 at 9:27 am,https://indianexpress.com/article/world/brazil-coronavirus-cases-deaths-milestone-6546839/
Malaria cases,Indian Express,Mumbai floods: Leptospirosis| dengue cases likely to rise,“Dengue| leptospirosis| H1N1| hepatitis and gastroenteritis are under control except malaria|” a BMC official said. Apart from testing patients with fever for Covid-19| the civic body has asked all hospitals and dispensaries to conduct rapid antigen test for malaria.,Updated: August 7| 2020 at 2:03 am,https://indianexpress.com/article/cities/mumbai/mumbai-leptospirosis-dengue-cases-likely-to-rise-6543282/
Malaria cases,Indian Express,Maharashtra: First Covid death in MSF; no medical cover| compensation for 9|000-strong force,The MSF was created under the Maharashtra State Security Corporation on the recommendation of Ram Pradhan Committee formed after the 26/11 attack in Mumbai.,Updated: August 5| 2020 at 11:20 pm,https://indianexpress.com/article/india/maharashtra-first-covid-death-in-msf-no-medical-cover-compensation-for-9000-strong-force-6541311/
Malaria cases,Indian Express,In Gurgaon| prep lags for dengue| malaria,A Civil Hospital senior official said anonymously that the health department had on Tuesday afternoon zeroed in on the hospital’s basement to set up the ward.,Updated: August 5| 2020 at 2:28 am,https://indianexpress.com/article/cities/delhi/in-gurgaon-prep-lags-for-dengue-malaria-6539696/
Malaria cases,Indian Express,Explained: Why are so many vaccines being developed all at the same time?,Vaccine development is a complex| time-consuming| resource-intensive process| and the chances of success are extremely low.,Updated: August 4| 2020 at 1:38 pm,https://indianexpress.com/article/explained/vaccine-development-for-covid-19-explained-6538681/
Malaria cases,Indian Express,Explained: Why the race for a Covid-19 vaccine is an unprecedented sprint,Why has the coronavirus pandemic spawned one of the hottest vaccine races in history? The Indian Express delves into the details.,Updated: August 3| 2020 at 12:45 pm,https://indianexpress.com/article/explained/coronavirus-vaccine-oxford-astrazeneca-russia-moderna-china-india-6536999/
Malaria cases,Indian Express,Fighting the infodemic,A unified database of COVID-19 patients would streamline immediate responses and warn of future effects,Updated: July 31| 2020 at 5:11 am,https://indianexpress.com/article/opinion/editorials/covid-19-coronavirus-pandemic-aiims-patient-database-icmr-6531581/
Malaria cases,Indian Express,UP: Govt says decline in communicable diseases this season,Additional Chief Secretary (Medical & Health) Amit Mohan Prasad in a statement said that in the current year| only 4|687 cases of malaria were reported till August 20 as against 15|101 in the same period in 2019.,Updated: August 24| 2020 at 4:13 am,https://indianexpress.com/article/cities/lucknow/up-govt-says-decline-in-communicable-diseases-this-season-6567231/
Malaria cases,Indian Express,Mumbai: To tackle monsoon diseases| 72 hospitals| nursing homes reverted to non-Covid facility,BMC health officials said they expect leptospirosis cases to surge this month and dengue cases by September. The number of malaria cases this year are double of what Mumbai recorded until 2019.,Updated: August 22| 2020 at 3:57 am,https://indianexpress.com/article/cities/mumbai/to-tackle-monsoon-diseases-72-hospitals-nursing-homes-reverted-to-non-covid-facility-6564928/
Malaria cases,Indian Express,ITIHAS tracks Covid cases using mobile network| artificial intelligence algorithm,Once tested positive| the tool traces the movement of the patient’s past 20 days and based on duration spent calculated by mobile pings sent to the tower| an exposure score is calculated| which is further fine-tuned and mapped geographically to undertake surveillance activities.,Updated: August 21| 2020 at 3:57 am,https://indianexpress.com/article/india/itihas-tracks-covid-cases-using-mobile-network-artificial-intelligence-algorithm-6563546/
Malaria cases,Indian Express,Mumbai: Spike in malaria cases in August| two with Covid-19 infection die,“We are testing all patients admitted for malaria| dengue or any monsoon-related ailment for Covid-19 to ensure they can be isolated in time|” Dr Hemant Deshmukh| dean of KEM hospital| said.,Updated: August 19| 2020 at 1:52 am,https://indianexpress.com/article/cities/mumbai/mumbai-spike-in-malaria-cases-in-august-two-with-covid-19-infection-die/
Malaria cases,Indian Express,Water-borne diseases on the rise: Here’s what to do,Sometimes bacteria like E. coli| salmonella enter the body through contaminated food and water and cause fever| swelling in the intestines leading to blood and mucus in stool; many of such cases require hospitalisation,Updated: August 18| 2020 at 8:00 pm,https://indianexpress.com/article/lifestyle/health/water-borne-diseases-monsoon-precautions-6533023/
Malaria cases,Indian Express,Bhupesh Baghel: ‘BJP trying to usurp credit for lawful process… no one has copyright on Ram’,Ram is in our culture. We use his name as greetings. We have Kabirpanthis in the state…. Today in Chhattisgarh| every house| every village has their Ramayana recital and reading sessions| says Bhupesh Baghel.,Updated: August 14| 2020 at 4:14 am,https://indianexpress.com/article/india/bhupesh-baghel-bjp-trying-to-usurp-credit-for-lawful-process-no-one-has-copyright-on-ram-6553720/
Malaria cases,Indian Express,US Presidential candidate Joe Biden picks Kamala Harris as his running mate,The United States has never had a female vice president| and the move comes four years after the country’s first female presidential nominee| Hillary Clinton| lost her White House bid.,Updated: August 12| 2020 at 2:11 am,https://indianexpress.com/article/world/us-presidential-candidate-joe-biden-picks-kamala-harris-as-his-running-mate-6550906/
Malaria cases,Indian Express,Mumbai: In 66% of infected doctors| source of Covid can’t be traced,The study conducted by the Association of Medical Consultants (AMC) in July asked infected doctors to voluntarily fill the survey forms. At least 176 agreed| among whom 40 per cent were in the age group of 36 to 50 years.,Updated: August 11| 2020 at 3:44 am,https://indianexpress.com/article/cities/mumbai/mumbai-in-66-of-infected-doctors-source-of-covid-cant-be-traced-6549468/
Malaria cases,Indian Express,Brazil makes grim milestone – 100|000 deaths from COVID-19,The nation of 210 million people has been reporting an average of more than 1|000 daily deaths from the pandemic since late May and reported 905 for the latest 24-hour period.,Updated: August 9| 2020 at 9:27 am,https://indianexpress.com/article/world/brazil-coronavirus-cases-deaths-milestone-6546839/
Malaria cases,Indian Express,Mumbai floods: Leptospirosis| dengue cases likely to rise,“Dengue| leptospirosis| H1N1| hepatitis and gastroenteritis are under control except malaria|” a BMC official said. Apart from testing patients with fever for Covid-19| the civic body has asked all hospitals and dispensaries to conduct rapid antigen test for malaria.,Updated: August 7| 2020 at 2:03 am,https://indianexpress.com/article/cities/mumbai/mumbai-leptospirosis-dengue-cases-likely-to-rise-6543282/
Malaria cases,Indian Express,Maharashtra: First Covid death in MSF; no medical cover| compensation for 9|000-strong force,The MSF was created under the Maharashtra State Security Corporation on the recommendation of Ram Pradhan Committee formed after the 26/11 attack in Mumbai.,Updated: August 5| 2020 at 11:20 pm,https://indianexpress.com/article/india/maharashtra-first-covid-death-in-msf-no-medical-cover-compensation-for-9000-strong-force-6541311/
Malaria cases,Indian Express,In Gurgaon| prep lags for dengue| malaria,A Civil Hospital senior official said anonymously that the health department had on Tuesday afternoon zeroed in on the hospital’s basement to set up the ward.,Updated: August 5| 2020 at 2:28 am,https://indianexpress.com/article/cities/delhi/in-gurgaon-prep-lags-for-dengue-malaria-6539696/
Malaria cases,Indian Express,Explained: Why are so many vaccines being developed all at the same time?,Vaccine development is a complex| time-consuming| resource-intensive process| and the chances of success are extremely low.,Updated: August 4| 2020 at 1:38 pm,https://indianexpress.com/article/explained/vaccine-development-for-covid-19-explained-6538681/
Malaria cases,Indian Express,Explained: Why the race for a Covid-19 vaccine is an unprecedented sprint,Why has the coronavirus pandemic spawned one of the hottest vaccine races in history? The Indian Express delves into the details.,Updated: August 3| 2020 at 12:45 pm,https://indianexpress.com/article/explained/coronavirus-vaccine-oxford-astrazeneca-russia-moderna-china-india-6536999/
Malaria cases,Indian Express,Fighting the infodemic,A unified database of COVID-19 patients would streamline immediate responses and warn of future effects,Updated: July 31| 2020 at 5:11 am,https://indianexpress.com/article/opinion/editorials/covid-19-coronavirus-pandemic-aiims-patient-database-icmr-6531581/
Malaria cases,The Hindu,Can a digital ID aid India’s primary health ecosystem?,Without strong health infrastructure| it could amount to putting the cart before the horse,August 28| 2020,https://www.thehindu.com/opinion/op-ed/can-a-digital-id-aid-indias-primary-health-ecosystem/article32460458.ece
Malaria cases,The Hindu,Can a digital ID aid India’s primary health ecosystem?,Without strong health infrastructure| it could amount to putting the cart before the horse,August 28| 2020,https://www.thehindu.com/todays-paper/tp-opinion/can-a-digital-id-aid-indias-primary-health-ecosystem/article32460953.ece
Malaria cases,The Hindu,Malaria outbreak comes as a double whammy for tribals,Over 1|000 cases reported this year in Agency areas,August 26| 2020,https://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/malaria-outbreak-comes-as-a-double-whammy-for-tribals/article32442402.ece
Malaria cases,The Hindu,Malaria outbreak comes as double whammy for tribals,Over 1|000 cases reported this year in Agency areas,August 25| 2020,https://www.thehindu.com/news/national/andhra-pradesh/malaria-outbreak-comes-as-double-whammy-for-tribals/article32441064.ece
Malaria cases,The Hindu,Coronavirus India lockdown Day 154 updates | August 25| 2020,The number of people recuperating from COVID-19 has crossed 23 lakh pushing the recovery rate to ove...,August 25| 2020,https://www.thehindu.com/news/national/coronavirus-india-lockdown-august-25-2020-live-updates/article32434712.ece
Malaria cases,The Hindu,Five months on| Tablighi Jamaat cases become diplomatic headache for government,Several countries have expressed concern over the continued custody of their nationals| say diplomat...,August 23| 2020,https://www.thehindu.com/news/national/five-months-on-tablighi-jamaat-cases-become-diplomatic-headache-for-government/article32421857.ece
Malaria cases,The Hindu,Basti dawakhanas to resume services,OP timings in PHCs to increase,August 21| 2020,https://www.thehindu.com/todays-paper/tp-national/tp-telangana/basti-dawakhanas-to-resume-services/article32408570.ece
Malaria cases,The Hindu,Evening clinics to resume at basti dawakhanas,OP timings in PHCs to increase,August 20| 2020,https://www.thehindu.com/news/national/telangana/evening-clinics-to-resume-at-basti-dawakhanas/article32406893.ece
Malaria cases,The Hindu,Health Minister reviews meeting on seasonal diseases,Eatala tells to focus on agency areas and take up anti-larvae operations,August 19| 2020,https://www.thehindu.com/news/national/telangana/health-minister-reviews-meeting-on-seasonal-diseases/article32397076.ece
Malaria cases,The Hindu,Words of wisdom: books that bring the focus back to illnesses and infections,Books that bring the focus back to the moment,August 18| 2020,https://www.thehindu.com/books/books-that-focus-on-pandemics-and-after-effects/article32383015.ece
Malaria cases,The Hindu,4G SIM cards without smart phones disconnect Haryana’s ASHA workers,Crucial in govt.’s efforts to combat COVID-19| the workers cannot afford smart phones needed for wor...,August 17| 2020,https://www.thehindu.com/news/national/other-states/4g-sim-cards-without-smart-phones-disconnect-haryanas-asha-workers/article32377660.ece
Malaria cases,The Hindu,Democrat Joe Biden chooses U.S. Senator Kamala Harris as running mate,Kamala Harris joins Joe Biden in the 2020 race at a moment of unprecedented national crisis,August 12| 2020,https://www.thehindu.com/news/international/joe-biden-picks-kamala-harris-as-running-mate/article32330524.ece
Malaria cases,The Hindu,Can a digital ID aid India’s primary health ecosystem?,Without strong health infrastructure| it could amount to putting the cart before the horse,August 28| 2020,https://www.thehindu.com/opinion/op-ed/can-a-digital-id-aid-indias-primary-health-ecosystem/article32460458.ece
Malaria cases,The Hindu,Can a digital ID aid India’s primary health ecosystem?,Without strong health infrastructure| it could amount to putting the cart before the horse,August 28| 2020,https://www.thehindu.com/todays-paper/tp-opinion/can-a-digital-id-aid-indias-primary-health-ecosystem/article32460953.ece
Malaria cases,The Hindu,Malaria outbreak comes as a double whammy for tribals,Over 1|000 cases reported this year in Agency areas,August 26| 2020,https://www.thehindu.com/todays-paper/tp-national/tp-andhrapradesh/malaria-outbreak-comes-as-a-double-whammy-for-tribals/article32442402.ece
Malaria cases,The Hindu,Malaria outbreak comes as double whammy for tribals,Over 1|000 cases reported this year in Agency areas,August 25| 2020,https://www.thehindu.com/news/national/andhra-pradesh/malaria-outbreak-comes-as-double-whammy-for-tribals/article32441064.ece
Malaria cases,The Hindu,Coronavirus India lockdown Day 154 updates | August 25| 2020,The number of people recuperating from COVID-19 has crossed 23 lakh pushing the recovery rate to ove...,August 25| 2020,https://www.thehindu.com/news/national/coronavirus-india-lockdown-august-25-2020-live-updates/article32434712.ece
Malaria cases,The Hindu,Five months on| Tablighi Jamaat cases become diplomatic headache for government,Several countries have expressed concern over the continued custody of their nationals| say diplomat...,August 23| 2020,https://www.thehindu.com/news/national/five-months-on-tablighi-jamaat-cases-become-diplomatic-headache-for-government/article32421857.ece
