Disease,Source,Statement,Content, Date, Link
Malaria cases,Times of India,Malaria cases go up in Bareilly in monsoon| 853 test positive in July,With the onset of monsoon and more screening| there has been an increase in the number of malaria cases in Bareilly. According to the latest data compiled by the health department| Bareilly reported 853 cases in July so far - after screening of 14|595 people. Notably| 788 malaria cases were detected between January and May this year.,23 Jul 2020,https://timesofindia.indiatimes.com/city/bareilly/malaria-cases-go-up-in-bareilly-in-monsoon-853-test-positive-in-july/articleshow/77112536.cms
Malaria cases,Times of India,As monsoon hits Delhi| city records 73 cases of dengue| malaria,Amidst fight with the Covid-19 pandemic| another battle is looming over the horizon of the national capital. The cases of vector-borne diseases are rising in Delhi.,26 Jul 2020,https://timesofindia.indiatimes.com/city/delhi/as-monsoon-hits-delhi-city-records-73-cases-of-dengue-malaria/articleshow/77178930.cms
Malaria cases,Times of India,Delhi: Anti-malaria fight takes back seat to Covid-19,The novel coronavirus pandemic has taken a toll on the annual activities carried out by municipal corporations during the monsoon season to control the spread of vector-borne diseases.,26 Jun 2020,https://timesofindia.indiatimes.com/city/delhi/anti-malaria-fight-takes-back-seat-to-covid-19/articleshow/76633586.cms
Malaria cases,Times of India,Bareilly sees 18 cases of 'killer' malaria strain in June,The district of Bareilly has recorded 18 cases of the deadly plasmodium falciparum (PF) strain of malaria in June this year| seven more than the cases in the same month last year| according to the latest report compiled by the health department here.,10 Jul 2020,https://timesofindia.indiatimes.com/city/bareilly/bareilly-sees-18-cases-of-killer-malaria-strain-in-june/articleshow/76880252.cms
Malaria cases,Times of India,35 new cases take Bhopal coronavirus count to 2|800,,29 Jun 2020,https://timesofindia.indiatimes.com/city/bhopal/35-new-cases-take-bhopal-coronavirus-count-to-2800/articleshow/76681542.cms
Malaria cases,Times of India,Mumbai sees over 300 malaria cases in June| up from 2019,,08 Jul 2020,https://timesofindia.indiatimes.com/city/mumbai/mumbai-sees-over-300-malaria-cases-in-june-up-from-2019/articleshow/76850805.cms
Malaria cases,Times of India,ICU teams to be put on malaria drug,The UT health department has procured anti-malaria drug hydroxychloroquine for its healthcare workers in the covid-19 intensive care units and isolation wards.,26 Mar 2020,https://timesofindia.indiatimes.com/city/chandigarh/icu-teams-to-be-put-on-malaria-drug/articleshow/74829842.cms
Malaria cases,Times of India,France halts hydroxychloroquine use for Covid-19 cases,The French government on Wednesday banned treatment of Covid-19 patients with hydroxychloroquine| a controversial and potentially harmful drug that US Prez Trump has said he is taking preventively. The move came after two French advisory bodies and the WHO warned this week that the drug had been shown to be potentially dangerous in several studies.,27 May 2020,https://timesofindia.indiatimes.com/world/europe/france-halts-hydroxychloroquine-use-for-covid-19-cases/articleshow/76032698.cms
Malaria cases,Times of India,On World Malaria Day| experts fear focus on Covid-19 weakens fight against malaria in Bareilly,Experts feel that with the Bareilly health department focusing all its efforts on the novel coronavirus pandemic threat| the fight against malaria outbreak has been weakened.,25 Apr 2020,https://timesofindia.indiatimes.com/city/bareilly/on-world-malaria-day-experts-fear-focus-on-covid-19-weakens-fight-against-malaria-in-bareilly/articleshow/75362242.cms
Malaria cases,Hindustan Times,Punjab’s dengue cases up 70% over past month,There are now 119 dengue patients in the state| against 70 on July 10. Most dengue cases are being reported from Ferozepur| Bathinda and Hoshiarpur districts read more,Aug 12| 2020 21:42,https://www.hindustantimes.com/cities/punjab-s-dengue-cases-up-70-over-past-month/story-Ce2txnK3kNeNZ2risvssNO.html
Malaria cases,Hindustan Times,On foot| boats health workers visit 1.8 lakh houses for malaria eradication drive in Bastar,Under the Malaria Mukt Bastar Abhiyan| the state government is conducting community-based active screening and treatment in seven districts of Bastar division to reduce malaria parasite load. read more,Jul 12| 2020 13:57,https://www.hindustantimes.com/india-news/on-foot-boats-health-workers-visit-1-8-lakh-houses-for-malaria-eradication-drive-in-bastar/story-c5etmG1lCRHVchK078HLnM.html
Malaria cases,Hindustan Times,As Punjab records 70 dengue cases in 30 days| state may not be prepared for another outbreak,Due to all focus on combating Covid-19| special wards for vector-borne disease patients yet to be set up. read more,Jul 10| 2020 22:27,https://www.hindustantimes.com/cities/as-punjab-records-70-dengue-cases-in-30-days-state-may-not-be-prepared-for-another-outbreak/story-WkH6Qs9zbsBFje6sRQfluK.html
Malaria cases,Hindustan Times,Hit hard by Covid-19| Bengal braces for dengue| malaria as monsoon breaks,Health officials say matters could worsen because the symptoms of Covid-19| dengue and malaria and a few other diseases such as typhoid and common flu often overlap. read more,Jun 13| 2020 19:31,https://www.hindustantimes.com/india-news/hit-hard-by-covid-19-bengal-braces-for-dengue-malaria-as-monsoon-breaks/story-mVYqWZIbGUHzg1nNflV2eN.html
Malaria cases,Hindustan Times,Cases of vector-borne diseases from Jan to May lowest in five years: Data,Data revealed that between January and May of 2016| 1|762 water and mosquito-borne disease cases were reported but this year till May| the number fell to 809| a drop of 54%. read more,Jun 07| 2020 23:52,https://www.hindustantimes.com/mumbai-news/cases-of-vector-borne-diseases-from-jan-to-may-lowest-in-five-years-data/story-x8u2BMueoRewoojGGtKdlI.html
Malaria cases,Hindustan Times,Mosquito-borne diseases  in Capital on the rise,Malaria cases in Delhi have more than quadrupled from four cases| reported between January 1| 2019 and May 9| 2019| to 18 cases reported between the same period this year. read more,May 11| 2020 23:13,https://www.hindustantimes.com/delhi-news/mosquito-borne-diseases-in-capital-on-the-rise/story-dOJwY4WHj2DJBdC26ddYDN.html
Malaria cases,Hindustan Times,Why Indian Parliamentarians are backing the fight against malaria,Let us pledge that we will eliminate malaria even from the remotest corner of India by 2030. Only when we leave no one behind will we cross the finish line read more,Mar 09| 2020 14:36,https://www.hindustantimes.com/analysis/why-indian-parliamentarians-are-backing-the-fight-against-malaria/story-AVkcyKLB0JnxTPxAEChRkM.html
Malaria cases,Hindustan Times,Yourspace: More insects than residents| thank you hyacinth,What is the long-term answer to this perennial problem? Are the civic authorities doing enough? Or anything at all? Can residents do anything to improve the situation? read more,Mar 07| 2020 23:45,https://www.hindustantimes.com/cities/yourspace-more-insects-than-residents-thank-you-hyacinth/story-03qppifWmF5fdgP86NH1IN.html
Malaria cases,Hindustan Times,This skin cream may protect against dengue| zika viruses,A skin cream used to treat warts and skin cancer could help protect people against viral diseases such as Zika and dengue| according to a new study. read more,Jan 27| 2020 18:33,https://www.hindustantimes.com/more-lifestyle/this-skin-cream-may-protect-against-dengue-zika-viruses/story-egWMaSFf9094QLDKOzqrYL.html
Malaria cases,Hindustan Times,Get Set| Go... 2020,Battling disease| checking pollution| protecting global biodiversity... a checklist of targets to be met by the coming year read more,Dec 27| 2019 19:16,https://www.hindustantimes.com/lifestyle/get-set-go-2020/story-17AEkvQ3NWvZdJyl3wQsqN.html
Malaria cases,Hindustan Times,India records 41% dip in annual malaria deaths: WHO’s report,Malaria cases in the country declined by 28% in 2018 compared to 2017; there was a 24% reduction in cases between 2016 and 2017. read more,Dec 04| 2019 01:36,https://www.hindustantimes.com/india-news/india-records-41-dip-in-annual-malaria-deaths-who-s-report/story-hf4ckQnPII1Csmsiv2EXdI.html
Malaria cases,Hindustan Times,Mum knows best: Home-made soup not just good for your soul|  may help fight malaria,A new study suggests that certain home-made broths| made from chicken| beef or even just vegetables| might have properties that can help fight malaria. read more,Nov 21| 2019 10:23,https://www.hindustantimes.com/more-lifestyle/mum-knows-best-home-made-soup-not-just-good-for-your-soul-may-help-fight-malaria/story-sv8Z3WnivHnqfOpwlgg10H.html
Malaria cases,Hindustan Times,‘Mumbai sees 27% rise in donated blood with hepatitis C| syphilis| malaria infections’,read more,Nov 21| 2019 00:43,https://www.hindustantimes.com/mumbai-news/mumbai-sees-27-rise-in-donated-blood-with-hepatitis-c-syphilis-malaria-infections/story-TDRLn12NZg6p7e0yWkbmpJ.html
Malaria cases,Hindustan Times,Seven fresh cases of dengue| 10 of malaria in Agra,read more,Nov 09| 2019 17:25,https://www.hindustantimes.com/agra/seven-fresh-cases-of-dengue-10-of-malaria-in-agra/story-pjWxCWrwxS3rYnDjvuRNgL.html
Malaria cases,Hindustan Times,Punjab records highest malaria| swine flu cases in five years,1|062 malaria cases recorded this year against 624 cases last year while at 541| swine flu cases saw whooping jump with only 47 positive counts in 2018 read more,Nov 02| 2019 20:25,https://www.hindustantimes.com/cities/punjab-records-highest-malaria-swine-flu-cases-in-five-years/story-CnDkv9fTpGKBRIdYjfr6aK.html
Malaria cases,AAJ TAK HINDI,दिल्ली में डेंगू ने तोड़े सारे रिकॉर्ड अब तक 467 मामले आए सामने,दिल्ली में इस साल डेंगू ने सभी रिकॉर्ड तोड़ दिए हैं. इस हफ्ते डेंगू के 111 नए मामले सामने आए. इस साल अब तक डेंगू के 467 मामले,aajtak | 14 अक्टूबर 2019  अपडेटेड 15:13 IST ,http://aajtak.intoday.in/story/delhi-dengue-malaria-chikungunya-cases-1-1128525.html
Malaria cases,AAJ TAK HINDI,बाढ़ के बाद पटना में डेंगू का कहर 640 मामले सामने आए,पटना में मच्छरों को मारने के लिए 24 टीमें बनाई गई हैं जिसके कर्मचारी टेमफॉस दवा का छिड़काव कर रहे हैं. पूरे प्रदेश में 900,aajtak | 06 अक्टूबर 2019  अपडेटेड 17:33 IST ,http://aajtak.intoday.in/story/dengue-cases-in-patna-after-flood-water-receding-temefos-spray-to-kill-mosquitoes-1-1126364.html
Malaria cases,AAJ TAK HINDI,दिल्ली: इस साल डेंगू के 282 मामले मलेरिया और चिकनगुनिया ने भी तोड़ा रिकॉर्ड,दिल्ली नगर निगम द्वारा जारी की गई ताजा रिपोर्ट बताती है कि महज एक हफ्ते में डेंगू के 65 नए मामले सामने आ चुके हैं और इस वर्ष,aajtak | 30 सितंबर 2019  अपडेटेड 15:05 IST ,http://aajtak.intoday.in/story/delhi-dengue-malaria-chikungunya-cases-increase-kejriwal-govt-campaign-10-hafte-10-baje-10-minute-campaign-1-1124517.html
Malaria cases,AAJ TAK HINDI,दिल्ली: मलेरिया डेंगू और चिकनगुनिया के मामलों में तेजी से बढ़ोतरी,दिल्ली में मलेरिया डेंगू और चिकनगुनिया के मामलों में बढ़ोतरी हुई है. इस हफ्ते मलेरिया के 48 डेंगू के 30 और चिकनगुनिया के 18,aajtak | 09 सितंबर 2019  अपडेटेड 14:26 IST ,http://aajtak.intoday.in/story/delhi-malaria-dengue-chikungunya-cases-increase-1-1117950.html
Malaria cases,AAJ TAK HINDI,ठण्ड की आहट के साथ डेंगू के नए मामलों में आई कमी,एमसीडी द्वारा जारी आंकड़ों के मुताबिक डेंगू के 486 नए मामले ही सामने आए हैं जबकि बीते एक महीने से हर हफ्ते डेंगू के 700 से,aajtak | 20 नवंबर 2017  अपडेटेड 20:09 IST ,http://aajtak.intoday.in/story/dengue-cases-decreases-as-winter-hits-delhi-1-966139.html
Malaria cases,AAJ TAK HINDI,दिल्ली में मलेरिया ने तोड़ा 4 साल का रिकॉर्ड डेंगू के 7 हजार से ज्यादा मामले दर्ज,डेंगू के बढ़ते मामलों के बीच चिंता की बात ये है कि मलेरिया ने दिल्ली में बीते 4 साल का रिकॉर्ड तोड़ दिया है. दिल्ली में अबतक,aajtak | 06 नवंबर 2017  अपडेटेड 23:34 IST ,http://aajtak.intoday.in/story/delhi-highest-malaria-cases-in-last-four-years-dengue-mcd-1-962982.html
Malaria cases,AAJ TAK HINDI,दिल्ली में 4 हज़ार के करीब पहुंचे डेंगू के मामले साउथ दिल्ली ज़्यादा प्रभावित,रिपोर्ट के मुताबिक साउथ दिल्ली में डेंगू मलेरिया और चिकनगुनिया का डंक सबसे ज़्यादा है. बात डेंगू की करें तो नार्थ एमसीडी,aajtak | 03 अक्टूबर 2017  अपडेटेड 21:18 IST ,http://aajtak.intoday.in/story/over-3800-dengue-cases-in-delhi-this-season-people-affected-disease-1-956107.html
Malaria cases,AAJ TAK HINDI,दिल्ली में डेंगू चिकुनगुनिया का कहर 5 साल का रिकॉर्ड टूटा,बदलते मौसम के साथ दिल्ली में डेंगू चिकनगुनिया और मलेरिया के मामलो में तेजी से बढ़ोतरी हुई है. सबसे ज्यादा आंकड़े मलेरिया के,aajtak | 13 जुलाई 2017  अपडेटेड 18:55 IST ,http://aajtak.intoday.in/story/delhi-dengue-chikungunia-malaria-cases-increased-1-940971.html
Malaria cases,AAJ TAK HINDI,अब मच्छर काटने पर मौत भी मानी जाएगी दुर्घटना !,इस मामले में याचिका दायर करने वाले कोलकाता निवासी मौसमी ने पति देबाशीष ने बैंक ऑफ बड़ौदा से आवास ऋण लिया था उन्होंने इसका,aajtak | 02 जनवरी 2017  अपडेटेड 19:46 IST ,http://aajtak.intoday.in/story/death-due-to-mosquito-bite-an-accident-says-consumer-disputes-commission-1-904750.html
Malaria cases,AAJ TAK HINDI,योगेंद्र यादव ने दिल्ली सरकार को दिया एक्साइज पॉलिसी पर सुझाव,स्वराज अभियान के अध्यक्ष योगेंद्र यादव ने शराब की एक्साइज पॉलिसी को दूरगामी बनाने के लिए दिल्ली सरकार को सुझाव दिए हैं ताकि,aajtak | 31 दिसंबर 2016  अपडेटेड 05:15 IST ,http://aajtak.intoday.in/story/yogendra-yadav-gave-tips-to-delhi-government-on-excise-policy-1-904387.html
Malaria cases,AAJ TAK HINDI,अब चिकनगुनिया से नहीं होगी मौत आ गई वैक्सीन,अमेरिकी शोधकर्ताओं ने विकसित किया दुनिया का पहला चिकनगुनिया वैक्सीन. किया सफल परीक्षण.,aajtak | 22 दिसंबर 2016  अपडेटेड 10:44 IST ,http://aajtak.intoday.in/story/american-researchers-developed-vaccine-for-chikungunya-fever-worlds-first-1-902816.html
Malaria cases,AAJ TAK HINDI,राजधानी में इस वर्ष डेंगू ने ली 10 लोगों की जान मलेरिया से 17 मरे,मलेरिया से 17 मरे डेंगू के अलावा मलेरिया ने भी इस साल दिल्ली-एमसीआर में खासा कहर बरपाया है जारी किए गए आंकड़ों के मुताबिक,aajtak | 20 दिसंबर 2016  अपडेटेड 13:42 IST ,http://aajtak.intoday.in/story/10-people-died-by-dengue-in-new-delhi-in-2016-says-mcd-1-902450.html
Malaria cases,AAJ TAK HINDI,गुजरात: टैंकर की टक्कर से 8 लोगों की मौत 8 घायल,गुजरात में मालिया कच्छ हाइवे पर टैंकर के कुचलने से 8 यात्रियों की मौत हो गई जबकि अन्य 8 घायल हैं. जिन्हें इलाज के अलग-अलग,aajtak | 27 सितंबर 2016  अपडेटेड 13:03 IST ,http://aajtak.intoday.in/story/8-people-died-from-the-collision-of-the-tanker-with-tempo-in-gujarat-1-889869.html
Malaria cases,AAJ TAK HINDI,गुजरात में डेंगू की चपेट में आए 26 डॉक्टर 7 हजार से ज्यादा लोग मलेरिया से पीड़ित,पिछले एक महीने के अंदर नगर निगम के आवासीय घरों में रहने वाले 26 डॉक्टर डेंगू का शिकार हुए हैं. दरअसल डेंगू मलेरिया और,aajtak | 26 सितंबर 2016  अपडेटेड 23:59 IST ,http://aajtak.intoday.in/story/26-doctors-are-infected-by-dengue-fever-and-more-than-7000-malaria-cases-registered-1-889794.html
Malaria cases,Indian Express,Bhupesh Baghel: ‘BJP trying to usurp credit for lawful process… no one has copyright on Ram’,Ram is in our culture. We use his name as greetings. We have Kabirpanthis in the state…. Today in Chhattisgarh| every house| every village has their Ramayana recital and reading sessions| says Bhupesh Baghel.,Updated: August 14| 2020 at 4:14 am,https://indianexpress.com/article/india/bhupesh-baghel-bjp-trying-to-usurp-credit-for-lawful-process-no-one-has-copyright-on-ram-6553720/
Malaria cases,Indian Express,US Presidential candidate Joe Biden picks Kamala Harris as his running mate,The United States has never had a female vice president| and the move comes four years after the country’s first female presidential nominee| Hillary Clinton| lost her White House bid.,Updated: August 12| 2020 at 2:11 am,https://indianexpress.com/article/world/us-presidential-candidate-joe-biden-picks-kamala-harris-as-his-running-mate-6550906/
Malaria cases,Indian Express,Mumbai: In 66% of infected doctors| source of Covid can’t be traced,The study conducted by the Association of Medical Consultants (AMC) in July asked infected doctors to voluntarily fill the survey forms. At least 176 agreed| among whom 40 per cent were in the age group of 36 to 50 years.,Updated: August 11| 2020 at 3:44 am,https://indianexpress.com/article/cities/mumbai/mumbai-in-66-of-infected-doctors-source-of-covid-cant-be-traced-6549468/
Malaria cases,Indian Express,Brazil makes grim milestone – 100|000 deaths from COVID-19,The nation of 210 million people has been reporting an average of more than 1|000 daily deaths from the pandemic since late May and reported 905 for the latest 24-hour period.,Updated: August 9| 2020 at 9:27 am,https://indianexpress.com/article/world/brazil-coronavirus-cases-deaths-milestone-6546839/
Malaria cases,Indian Express,Mumbai floods: Leptospirosis| dengue cases likely to rise,“Dengue| leptospirosis| H1N1| hepatitis and gastroenteritis are under control except malaria|” a BMC official said. Apart from testing patients with fever for Covid-19| the civic body has asked all hospitals and dispensaries to conduct rapid antigen test for malaria.,Updated: August 7| 2020 at 2:03 am,https://indianexpress.com/article/cities/mumbai/mumbai-leptospirosis-dengue-cases-likely-to-rise-6543282/
Malaria cases,Indian Express,Maharashtra: First Covid death in MSF; no medical cover| compensation for 9|000-strong force,The MSF was created under the Maharashtra State Security Corporation on the recommendation of Ram Pradhan Committee formed after the 26/11 attack in Mumbai.,Updated: August 5| 2020 at 11:20 pm,https://indianexpress.com/article/india/maharashtra-first-covid-death-in-msf-no-medical-cover-compensation-for-9000-strong-force-6541311/
Malaria cases,Indian Express,In Gurgaon| prep lags for dengue| malaria,A Civil Hospital senior official said anonymously that the health department had on Tuesday afternoon zeroed in on the hospital’s basement to set up the ward.,Updated: August 5| 2020 at 2:28 am,https://indianexpress.com/article/cities/delhi/in-gurgaon-prep-lags-for-dengue-malaria-6539696/
Malaria cases,Indian Express,Explained: Why are so many vaccines being developed all at the same time?,Vaccine development is a complex| time-consuming| resource-intensive process| and the chances of success are extremely low.,Updated: August 4| 2020 at 1:38 pm,https://indianexpress.com/article/explained/vaccine-development-for-covid-19-explained-6538681/
Malaria cases,Indian Express,Explained: Why the race for a Covid-19 vaccine is an unprecedented sprint,Why has the coronavirus pandemic spawned one of the hottest vaccine races in history? The Indian Express delves into the details.,Updated: August 3| 2020 at 12:45 pm,https://indianexpress.com/article/explained/coronavirus-vaccine-oxford-astrazeneca-russia-moderna-china-india-6536999/
Malaria cases,Indian Express,Fighting the infodemic,A unified database of COVID-19 patients would streamline immediate responses and warn of future effects,Updated: July 31| 2020 at 5:11 am,https://indianexpress.com/article/opinion/editorials/covid-19-coronavirus-pandemic-aiims-patient-database-icmr-6531581/
Malaria cases,Indian Express,Coronavirus Global Updates| 29 July: Russia rejects US accusations of spreading virus disinformation,Global Coronavirus (COVID-19) Updates: More than 16.67 million people have been infected with the virus| while nearly 6.6 lakh people have died. Infections have been reported in more than 210 countries and territories since the first cases were identified in China in December 2019.,Updated: July 29| 2020 at 10:53 am,https://indianexpress.com/article/coronavirus/coronavirus-global-updates-29-july-6528758/
Malaria cases,Indian Express,Let’s not forget the epidemic during the pandemic,While we must grapple with Covid-19| the country cannot afford to lose focus on its targets to eliminate neglected tropical diseases.,Updated: July 28| 2020 at 8:37 pm,https://indianexpress.com/article/opinion/columns/coronavirus-covid-19-lets-not-forget-the-epidemic-during-the-pandemic/
Malaria cases,Indian Express,Torrential rains wreak destruction in Yemen| killing dozens,At a time when Yemen is already mired in escalated fighting| widespread hunger and a major coronavirus outbreak| the spate of torrential rains is exacerbating the world’s worst humanitarian disaster.,Updated: July 28| 2020 at 9:41 am,https://indianexpress.com/article/world/torrential-rains-wreak-destruction-in-yemen-killing-dozens-6526954/
Malaria cases,Indian Express,‘If it is a recurring infection| by next year we will know how to deal with it better’: Maharashtra Health Secretary,As focus of cases shifts from Mumbai to Mumbai Metropolitan Region and Pune| Health Secretary Dr Pradeep Vyas says the state has become wiser and is better equipped to control fatality. Excerpts from an interview with The Indian Express.,Updated: July 26| 2020 at 2:07 am,https://indianexpress.com/article/cities/mumbai/if-it-is-a-recurring-infection-by-next-year-we-will-know-how-to-deal-with-it-better-maharashtra-health-secretary-6523544/
Malaria cases,Indian Express,Coronavirus Global Updates| July 25: US agency vows steps to address Covid inequalities,Global Coronavirus (COVID-19) Updates: Infections have been reported in more than 210 countries and territories since the first cases were identified in China in December 2019.,Updated: July 25| 2020 at 1:07 pm,https://indianexpress.com/article/coronavirus/coronavirus-global-updates-25-july-cases-tracker-deaths-us-brazil-trump-who-vaccine-update-6522634/
Malaria cases,Indian Express,Bhupesh Baghel: ‘BJP trying to usurp credit for lawful process… no one has copyright on Ram’,Ram is in our culture. We use his name as greetings. We have Kabirpanthis in the state…. Today in Chhattisgarh| every house| every village has their Ramayana recital and reading sessions| says Bhupesh Baghel.,Updated: August 14| 2020 at 4:14 am,https://indianexpress.com/article/india/bhupesh-baghel-bjp-trying-to-usurp-credit-for-lawful-process-no-one-has-copyright-on-ram-6553720/
Malaria cases,Indian Express,US Presidential candidate Joe Biden picks Kamala Harris as his running mate,The United States has never had a female vice president| and the move comes four years after the country’s first female presidential nominee| Hillary Clinton| lost her White House bid.,Updated: August 12| 2020 at 2:11 am,https://indianexpress.com/article/world/us-presidential-candidate-joe-biden-picks-kamala-harris-as-his-running-mate-6550906/
Malaria cases,Indian Express,Mumbai: In 66% of infected doctors| source of Covid can’t be traced,The study conducted by the Association of Medical Consultants (AMC) in July asked infected doctors to voluntarily fill the survey forms. At least 176 agreed| among whom 40 per cent were in the age group of 36 to 50 years.,Updated: August 11| 2020 at 3:44 am,https://indianexpress.com/article/cities/mumbai/mumbai-in-66-of-infected-doctors-source-of-covid-cant-be-traced-6549468/
Malaria cases,Indian Express,Brazil makes grim milestone – 100|000 deaths from COVID-19,The nation of 210 million people has been reporting an average of more than 1|000 daily deaths from the pandemic since late May and reported 905 for the latest 24-hour period.,Updated: August 9| 2020 at 9:27 am,https://indianexpress.com/article/world/brazil-coronavirus-cases-deaths-milestone-6546839/
Malaria cases,Indian Express,Mumbai floods: Leptospirosis| dengue cases likely to rise,“Dengue| leptospirosis| H1N1| hepatitis and gastroenteritis are under control except malaria|” a BMC official said. Apart from testing patients with fever for Covid-19| the civic body has asked all hospitals and dispensaries to conduct rapid antigen test for malaria.,Updated: August 7| 2020 at 2:03 am,https://indianexpress.com/article/cities/mumbai/mumbai-leptospirosis-dengue-cases-likely-to-rise-6543282/
Malaria cases,Indian Express,Maharashtra: First Covid death in MSF; no medical cover| compensation for 9|000-strong force,The MSF was created under the Maharashtra State Security Corporation on the recommendation of Ram Pradhan Committee formed after the 26/11 attack in Mumbai.,Updated: August 5| 2020 at 11:20 pm,https://indianexpress.com/article/india/maharashtra-first-covid-death-in-msf-no-medical-cover-compensation-for-9000-strong-force-6541311/
Malaria cases,Indian Express,In Gurgaon| prep lags for dengue| malaria,A Civil Hospital senior official said anonymously that the health department had on Tuesday afternoon zeroed in on the hospital’s basement to set up the ward.,Updated: August 5| 2020 at 2:28 am,https://indianexpress.com/article/cities/delhi/in-gurgaon-prep-lags-for-dengue-malaria-6539696/
Malaria cases,Indian Express,Explained: Why are so many vaccines being developed all at the same time?,Vaccine development is a complex| time-consuming| resource-intensive process| and the chances of success are extremely low.,Updated: August 4| 2020 at 1:38 pm,https://indianexpress.com/article/explained/vaccine-development-for-covid-19-explained-6538681/
Malaria cases,Indian Express,Explained: Why the race for a Covid-19 vaccine is an unprecedented sprint,Why has the coronavirus pandemic spawned one of the hottest vaccine races in history? The Indian Express delves into the details.,Updated: August 3| 2020 at 12:45 pm,https://indianexpress.com/article/explained/coronavirus-vaccine-oxford-astrazeneca-russia-moderna-china-india-6536999/
